output_path,date_string,date_iso,seed,tier,generator_type,model_checkpoint,left_margin,right_margin,top_margin,bottom_margin,baseline_ratio,height_ratio,width_ratio,stroke_thickness,max_z,layout_ok
stress_runs\20260119_163341\images\2025\01\07_seed40492.png,1.07. 25,2025-01-07,40492,A,datefont_renderer,unknown,0.10546875,0.33203125,0.671875,0.0,0.9296875,0.328125,0.5625,27.0,40.625,True
stress_runs\20260119_163341\images\2025\01\07_seed40493.png,1.07. 25,2025-01-07,40493,A,datefont_renderer,unknown,0.10546875,0.33203125,0.671875,0.0,0.9296875,0.328125,0.5625,27.0,40.625,True
stress_runs\20260119_163341\images\2025\01\07_seed40494.png,1.07. 25,2025-01-07,40494,A,datefont_renderer,unknown,0.10546875,0.33203125,0.671875,0.0,0.9296875,0.328125,0.5625,27.0,40.625,True
stress_runs\20260119_163341\images\2025\01\08_seed40493.png,1.08. 25,2025-01-08,40493,A,datefont_renderer,unknown,0.07421875,0.33203125,0.4453125,0.0,0.703125,0.5546875,0.59375,27.0,37.5,True
stress_runs\20260119_163341\images\2025\01\08_seed40494.png,1.08. 25,2025-01-08,40494,A,datefont_renderer,unknown,0.07421875,0.33203125,0.4453125,0.0,0.703125,0.5546875,0.59375,27.0,37.5,True
stress_runs\20260119_163341\images\2025\01\08_seed40495.png,1.08. 25,2025-01-08,40495,A,datefont_renderer,unknown,0.07421875,0.33203125,0.4453125,0.0,0.703125,0.5546875,0.59375,27.0,37.5,True
stress_runs\20260119_163341\images\2025\01\09_seed40494.png,1.09. 25,2025-01-09,40494,A,datefont_renderer,unknown,0.0703125,0.0,0.5625,0.0,0.90625,0.4375,0.9296875,21.0,20.5,True
stress_runs\20260119_163341\images\2025\01\09_seed40495.png,1.09. 25,2025-01-09,40495,A,datefont_renderer,unknown,0.0703125,0.0,0.5625,0.0,0.90625,0.4375,0.9296875,21.0,20.5,True
stress_runs\20260119_163341\images\2025\01\09_seed40496.png,1.09. 25,2025-01-09,40496,A,datefont_renderer,unknown,0.0703125,0.0,0.5625,0.0,0.90625,0.4375,0.9296875,21.0,20.5,True
stress_runs\20260119_163341\images\2025\01\10_seed40495.png,1.10. 25,2025-01-10,40495,A,datefont_renderer,unknown,0.10546875,0.33203125,0.671875,0.0,0.9296875,0.328125,0.5625,27.0,40.625,True
stress_runs\20260119_163341\images\2025\01\10_seed40496.png,1.10. 25,2025-01-10,40496,A,datefont_renderer,unknown,0.10546875,0.33203125,0.671875,0.0,0.9296875,0.328125,0.5625,27.0,40.625,True
stress_runs\20260119_163341\images\2025\01\10_seed40497.png,1.10. 25,2025-01-10,40497,A,datefont_renderer,unknown,0.10546875,0.33203125,0.671875,0.0,0.9296875,0.328125,0.5625,27.0,40.625,True
stress_runs\20260119_163341\images\2025\01\11_seed40496.png,1.11. 25,2025-01-11,40496,A,datefont_renderer,unknown,0.10546875,0.33203125,0.671875,0.0,0.9296875,0.328125,0.5625,27.0,40.625,True
stress_runs\20260119_163341\images\2025\01\11_seed40497.png,1.11. 25,2025-01-11,40497,A,datefont_renderer,unknown,0.10546875,0.33203125,0.671875,0.0,0.9296875,0.328125,0.5625,27.0,40.625,True
stress_runs\20260119_163341\images\2025\01\11_seed40498.png,1.11. 25,2025-01-11,40498,A,datefont_renderer,unknown,0.10546875,0.33203125,0.671875,0.0,0.9296875,0.328125,0.5625,27.0,40.625,True
stress_runs\20260119_163341\images\2025\01\12_seed40497.png,1.12. 25,2025-01-12,40497,A,datefont_renderer,unknown,0.07421875,0.0,0.2109375,0.0546875,0.578125,0.734375,0.92578125,24.0,28.0,True
stress_runs\20260119_163341\images\2025\01\12_seed40498.png,1.12. 25,2025-01-12,40498,A,datefont_renderer,unknown,0.07421875,0.0,0.2109375,0.0546875,0.578125,0.734375,0.92578125,24.0,28.0,True
stress_runs\20260119_163341\images\2025\01\12_seed40499.png,1.12. 25,2025-01-12,40499,A,datefont_renderer,unknown,0.07421875,0.0,0.2109375,0.0546875,0.578125,0.734375,0.92578125,24.0,28.0,True
stress_runs\20260119_163341\images\2025\01\13_seed40498.png,1.13. 25,2025-01-13,40498,A,datefont_renderer,unknown,0.10546875,0.33203125,0.671875,0.0,0.9296875,0.328125,0.5625,27.0,40.625,True
stress_runs\20260119_163341\images\2025\01\13_seed40499.png,1.13. 25,2025-01-13,40499,A,datefont_renderer,unknown,0.10546875,0.33203125,0.671875,0.0,0.9296875,0.328125,0.5625,27.0,40.625,True
stress_runs\20260119_163341\images\2025\01\13_seed40500.png,1.13. 25,2025-01-13,40500,A,datefont_renderer,unknown,0.10546875,0.33203125,0.671875,0.0,0.9296875,0.328125,0.5625,27.0,40.625,True
stress_runs\20260119_163341\images\2025\01\14_seed40499.png,1.14. 25,2025-01-14,40499,A,datefont_renderer,unknown,0.07421875,0.0,0.53125,0.0,0.8984375,0.46875,0.92578125,27.0,35.5,True
stress_runs\20260119_163341\images\2025\01\14_seed40500.png,1.14. 25,2025-01-14,40500,A,datefont_renderer,unknown,0.07421875,0.0,0.53125,0.0,0.8984375,0.46875,0.92578125,27.0,35.5,True
stress_runs\20260119_163341\images\2025\01\14_seed40501.png,1.14. 25,2025-01-14,40501,A,datefont_renderer,unknown,0.07421875,0.0,0.53125,0.0,0.8984375,0.46875,0.92578125,27.0,35.5,True
stress_runs\20260119_163341\images\2025\01\15_seed40500.png,1.15. 25,2025-01-15,40500,A,datefont_renderer,unknown,0.10546875,0.33203125,0.671875,0.0,0.9296875,0.328125,0.5625,27.0,40.625,True
stress_runs\20260119_163341\images\2025\01\15_seed40501.png,1.15. 25,2025-01-15,40501,A,datefont_renderer,unknown,0.10546875,0.33203125,0.671875,0.0,0.9296875,0.328125,0.5625,27.0,40.625,True
stress_runs\20260119_163341\images\2025\01\15_seed40502.png,1.15. 25,2025-01-15,40502,A,datefont_renderer,unknown,0.10546875,0.33203125,0.671875,0.0,0.9296875,0.328125,0.5625,27.0,40.625,True
stress_runs\20260119_163341\images\2025\01\16_seed40501.png,1.16. 25,2025-01-16,40501,A,datefont_renderer,unknown,0.07421875,0.0,0.3125,0.0,0.6796875,0.6875,0.92578125,25.0,30.5,True
stress_runs\20260119_163341\images\2025\01\16_seed40502.png,1.16. 25,2025-01-16,40502,A,datefont_renderer,unknown,0.07421875,0.0,0.3125,0.0,0.6796875,0.6875,0.92578125,25.0,30.5,True
stress_runs\20260119_163341\images\2025\01\16_seed40503.png,1.16. 25,2025-01-16,40503,A,datefont_renderer,unknown,0.07421875,0.0,0.3125,0.0,0.6796875,0.6875,0.92578125,25.0,30.5,True
stress_runs\20260119_163341\images\2025\01\17_seed40502.png,1.17. 25,2025-01-17,40502,A,datefont_renderer,unknown,0.10546875,0.33203125,0.671875,0.0,0.9296875,0.328125,0.5625,27.0,40.625,True
stress_runs\20260119_163341\images\2025\01\17_seed40503.png,1.17. 25,2025-01-17,40503,A,datefont_renderer,unknown,0.10546875,0.33203125,0.671875,0.0,0.9296875,0.328125,0.5625,27.0,40.625,True
stress_runs\20260119_163341\images\2025\01\17_seed40504.png,1.17. 25,2025-01-17,40504,A,datefont_renderer,unknown,0.10546875,0.33203125,0.671875,0.0,0.9296875,0.328125,0.5625,27.0,40.625,True
stress_runs\20260119_163341\images\2025\01\18_seed40503.png,1.18. 25,2025-01-18,40503,A,datefont_renderer,unknown,0.07421875,0.0,0.59375,0.0,0.9609375,0.40625,0.92578125,27.0,35.5,True
stress_runs\20260119_163341\images\2025\01\18_seed40504.png,1.18. 25,2025-01-18,40504,A,datefont_renderer,unknown,0.07421875,0.0,0.59375,0.0,0.9609375,0.40625,0.92578125,27.0,35.5,True
stress_runs\20260119_163341\images\2025\01\18_seed40505.png,1.18. 25,2025-01-18,40505,A,datefont_renderer,unknown,0.07421875,0.0,0.59375,0.0,0.9609375,0.40625,0.92578125,27.0,35.5,True
stress_runs\20260119_163341\images\2025\01\19_seed40504.png,1.19. 25,2025-01-19,40504,A,datefont_renderer,unknown,0.0703125,0.0,0.6328125,0.0,0.9765625,0.3671875,0.9296875,22.0,23.0,True
stress_runs\20260119_163341\images\2025\01\19_seed40505.png,1.19. 25,2025-01-19,40505,A,datefont_renderer,unknown,0.0703125,0.0,0.6328125,0.0,0.9765625,0.3671875,0.9296875,22.0,23.0,True
stress_runs\20260119_163341\images\2025\01\19_seed40506.png,1.19. 25,2025-01-19,40506,A,datefont_renderer,unknown,0.0703125,0.0,0.6328125,0.0,0.9765625,0.3671875,0.9296875,22.0,23.0,True
stress_runs\20260119_163341\images\2025\01\20_seed40505.png,1.20. 25,2025-01-20,40505,A,datefont_renderer,unknown,0.07421875,0.0,0.328125,0.0,0.5859375,0.671875,0.92578125,27.0,35.5,True
stress_runs\20260119_163341\images\2025\01\20_seed40506.png,1.20. 25,2025-01-20,40506,A,datefont_renderer,unknown,0.07421875,0.0,0.328125,0.0,0.5859375,0.671875,0.92578125,27.0,35.5,True
stress_runs\20260119_163341\images\2025\01\20_seed40507.png,1.20. 25,2025-01-20,40507,A,datefont_renderer,unknown,0.07421875,0.0,0.328125,0.0,0.5859375,0.671875,0.92578125,27.0,35.5,True
stress_runs\20260119_163341\images\2025\01\21_seed40506.png,1.21. 25,2025-01-21,40506,A,datefont_renderer,unknown,0.07421875,0.0,0.2109375,0.0546875,0.46875,0.734375,0.92578125,27.0,35.5,True
stress_runs\20260119_163341\images\2025\01\21_seed40507.png,1.21. 25,2025-01-21,40507,A,datefont_renderer,unknown,0.07421875,0.0,0.2109375,0.0546875,0.46875,0.734375,0.92578125,27.0,35.5,True
stress_runs\20260119_163341\images\2025\01\21_seed40508.png,1.21. 25,2025-01-21,40508,A,datefont_renderer,unknown,0.07421875,0.0,0.2109375,0.0546875,0.46875,0.734375,0.92578125,27.0,35.5,True
stress_runs\20260119_163341\images\2025\01\22_seed40507.png,1.22. 25,2025-01-22,40507,A,datefont_renderer,unknown,0.07421875,0.0,0.2109375,0.0546875,0.46875,0.734375,0.92578125,27.0,35.5,True
stress_runs\20260119_163341\images\2025\01\22_seed40508.png,1.22. 25,2025-01-22,40508,A,datefont_renderer,unknown,0.07421875,0.0,0.2109375,0.0546875,0.46875,0.734375,0.92578125,27.0,35.5,True
stress_runs\20260119_163341\images\2025\01\22_seed40509.png,1.22. 25,2025-01-22,40509,A,datefont_renderer,unknown,0.07421875,0.0,0.2109375,0.0546875,0.46875,0.734375,0.92578125,27.0,35.5,True
stress_runs\20260119_163341\images\2025\01\23_seed40508.png,1.23. 25,2025-01-23,40508,A,datefont_renderer,unknown,0.07421875,0.0,0.234375,0.03125,0.4921875,0.734375,0.92578125,27.0,35.5,True
stress_runs\20260119_163341\images\2025\01\23_seed40509.png,1.23. 25,2025-01-23,40509,A,datefont_renderer,unknown,0.07421875,0.0,0.234375,0.03125,0.4921875,0.734375,0.92578125,27.0,35.5,True
stress_runs\20260119_163341\images\2025\01\23_seed40510.png,1.23. 25,2025-01-23,40510,A,datefont_renderer,unknown,0.07421875,0.0,0.234375,0.03125,0.4921875,0.734375,0.92578125,27.0,35.5,True
stress_runs\20260119_163341\images\2025\01\24_seed40509.png,1.24. 25,2025-01-24,40509,A,datefont_renderer,unknown,0.07421875,0.33203125,0.46875,0.0,0.7265625,0.53125,0.59375,27.0,37.5,True
stress_runs\20260119_163341\images\2025\01\24_seed40510.png,1.24. 25,2025-01-24,40510,A,datefont_renderer,unknown,0.07421875,0.33203125,0.46875,0.0,0.7265625,0.53125,0.59375,27.0,37.5,True
stress_runs\20260119_163341\images\2025\01\24_seed40511.png,1.24. 25,2025-01-24,40511,A,datefont_renderer,unknown,0.07421875,0.33203125,0.46875,0.0,0.7265625,0.53125,0.59375,27.0,37.5,True
stress_runs\20260119_163341\images\2025\01\25_seed40510.png,1.25. 25,2025-01-25,40510,A,datefont_renderer,unknown,0.11328125,0.33203125,0.703125,0.0,0.9609375,0.296875,0.5546875,27.0,41.40625,True
stress_runs\20260119_163341\images\2025\01\25_seed40511.png,1.25. 25,2025-01-25,40511,A,datefont_renderer,unknown,0.11328125,0.33203125,0.703125,0.0,0.9609375,0.296875,0.5546875,27.0,41.40625,True
stress_runs\20260119_163341\images\2025\01\25_seed40512.png,1.25. 25,2025-01-25,40512,A,datefont_renderer,unknown,0.11328125,0.33203125,0.703125,0.0,0.9609375,0.296875,0.5546875,27.0,41.40625,True
stress_runs\20260119_163341\images\2025\01\26_seed40511.png,1.26. 25,2025-01-26,40511,A,datefont_renderer,unknown,0.07421875,0.0,0.2109375,0.0546875,0.46875,0.734375,0.92578125,27.0,35.5,True
stress_runs\20260119_163341\images\2025\01\26_seed40512.png,1.26. 25,2025-01-26,40512,A,datefont_renderer,unknown,0.07421875,0.0,0.2109375,0.0546875,0.46875,0.734375,0.92578125,27.0,35.5,True
stress_runs\20260119_163341\images\2025\01\26_seed40513.png,1.26. 25,2025-01-26,40513,A,datefont_renderer,unknown,0.07421875,0.0,0.2109375,0.0546875,0.46875,0.734375,0.92578125,27.0,35.5,True
stress_runs\20260119_163341\images\2025\01\27_seed40512.png,1.27. 25,2025-01-27,40512,A,datefont_renderer,unknown,0.07421875,0.0,0.21875,0.046875,0.4765625,0.734375,0.92578125,27.0,35.5,True
stress_runs\20260119_163341\images\2025\01\27_seed40513.png,1.27. 25,2025-01-27,40513,A,datefont_renderer,unknown,0.07421875,0.0,0.21875,0.046875,0.4765625,0.734375,0.92578125,27.0,35.5,True
stress_runs\20260119_163341\images\2025\01\27_seed40514.png,1.27. 25,2025-01-27,40514,A,datefont_renderer,unknown,0.07421875,0.0,0.21875,0.046875,0.4765625,0.734375,0.92578125,27.0,35.5,True
stress_runs\20260119_163341\images\2025\01\28_seed40513.png,1.28. 25,2025-01-28,40513,A,datefont_renderer,unknown,0.07421875,0.0,0.2109375,0.0546875,0.46875,0.734375,0.92578125,27.0,35.5,True
stress_runs\20260119_163341\images\2025\01\28_seed40514.png,1.28. 25,2025-01-28,40514,A,datefont_renderer,unknown,0.07421875,0.0,0.2109375,0.0546875,0.46875,0.734375,0.92578125,27.0,35.5,True
stress_runs\20260119_163341\images\2025\01\28_seed40515.png,1.28. 25,2025-01-28,40515,A,datefont_renderer,unknown,0.07421875,0.0,0.2109375,0.0546875,0.46875,0.734375,0.92578125,27.0,35.5,True
stress_runs\20260119_163341\images\2025\01\29_seed40514.png,1.29. 25,2025-01-29,40514,A,datefont_renderer,unknown,0.0703125,0.0,0.25,0.0625,0.4765625,0.6875,0.9296875,25.0,30.5,True
stress_runs\20260119_163341\images\2025\01\29_seed40515.png,1.29. 25,2025-01-29,40515,A,datefont_renderer,unknown,0.0703125,0.0,0.25,0.0625,0.4765625,0.6875,0.9296875,25.0,30.5,True
stress_runs\20260119_163341\images\2025\01\29_seed40516.png,1.29. 25,2025-01-29,40516,A,datefont_renderer,unknown,0.0703125,0.0,0.25,0.0625,0.4765625,0.6875,0.9296875,25.0,30.5,True
stress_runs\20260119_163341\images\2025\01\30_seed40515.png,1.30. 25,2025-01-30,40515,A,datefont_renderer,unknown,0.10546875,0.33203125,0.671875,0.0,0.9296875,0.328125,0.5625,27.0,40.625,True
stress_runs\20260119_163341\images\2025\01\30_seed40516.png,1.30. 25,2025-01-30,40516,A,datefont_renderer,unknown,0.10546875,0.33203125,0.671875,0.0,0.9296875,0.328125,0.5625,27.0,40.625,True
stress_runs\20260119_163341\images\2025\01\30_seed40517.png,1.30. 25,2025-01-30,40517,A,datefont_renderer,unknown,0.10546875,0.33203125,0.671875,0.0,0.9296875,0.328125,0.5625,27.0,40.625,True
